1580387330:[MONITR,461]battery 15207mV,  109678uA
1580387353:[PRESS , 81]P  +3690mbar,T+11528mdegC
1580387365:[PRESS , 95]P  +3730mbar,T-15012mdegC
1580387371:[PRESS , 95]P  +3780mbar,T+11528mdegC
1580387374:[PRESS , 95]P  +3780mbar,T-15012mdegC
1580387376:[PRESS , 95]P  +3780mbar,T+11528mdegC
1580387379:[MONITR,461]battery 15368mV,    2928uA
1580387385:[PUMP  ,368]during 41434ms
1580387386:[MONITR,461]battery 15078mV,  301096uA
1580387427:[MONITR,461]battery 15200mV,   44042uA
1580387440:[PRESS , 81]P  +3960mbar,T+11528mdegC
1580387444:[PRESS , 95]P  +3950mbar,T-27468mdegC
1580387446:[PRESS , 95]P  +3960mbar,T-15012mdegC
1580387448:[PRESS , 95]P  +3950mbar,T+11528mdegC
1580387449:[PRESS , 95]P  +3970mbar,T-27468mdegC
1580387451:[PRESS , 95]P  +3960mbar,T-15012mdegC
1580387455:[PRESS , 95]P  +3960mbar,T+11528mdegC
1580387457:[PRESS , 95]P  +3970mbar,T-15012mdegC
1580387458:[PRESS , 95]P  +3970mbar,T+11528mdegC
1580387460:[PRESS , 95]P  +3970mbar,T-15012mdegC
1580387464:[PRESS , 95]P  +3980mbar,T+11528mdegC
1580387466:[PRESS , 95]P  +3990mbar,T-15012mdegC
1580387526:[PRESS , 95]P  +4040mbar,T+23981mdegC
1580387528:[PRESS , 95]P  +4040mbar,T-27468mdegC
1580387530:[PRESS , 95]P  +4040mbar,T+11528mdegC
1580387532:[PRESS , 95]P  +4040mbar,T-27468mdegC
1580387534:[PRESS , 95]P  +4050mbar,T+11528mdegC
1580387535:[PRESS , 95]P  +4050mbar,T-15012mdegC
1580387537:[PRESS , 95]P  +4050mbar,T+11528mdegC
1580387539:[PRESS , 95]P  +4060mbar,T-27468mdegC
1580387541:[PRESS , 95]P  +4050mbar,T+11528mdegC
1580387544:[PRESS , 95]P  +4050mbar,T-15012mdegC
