1557668779:[PRESS , 95]P  +5180mbar,T +2275mdegC
1557668861:[MRMAID,565]52dbar, 2degC
1557668900:[PRESS , 95]P  +5210mbar,T+28966mdegC
1557669143:[PRESS , 81]P  +5290mbar,T+28966mdegC
1557669746:[MRMAID,966]<ERR>acq not stopped
1557669746:[MAIN  ,482]surfacing
1557669748:[PRESS , 81]P  +5530mbar,T +2275mdegC
1557669748:[SURFIN,145]P  +5530mbar
1557669756:[PUMP  ,367]during 60000ms
1557669757:[MONITR,461]battery 14617mV,  136030uA
1557669758:[MONITR,461]battery 14285mV,  302560uA
1557669766:[MONITR,461]battery 14543mV,  313296uA
1557669818:[MONITR,461]battery 14856mV,   66856uA
1557669873:[PRESS , 81]P  +5210mbar,T +2275mdegC
1557669875:[PRESS , 95]P  +5210mbar,T+28966mdegC
1557669878:[PRESS , 95]P  +5190mbar,T +2275mdegC
1557669882:[PRESS , 95]P  +5180mbar,T+28966mdegC
1557669884:[PRESS , 95]P  +5170mbar,T +2275mdegC
1557669889:[PRESS , 95]P  +5140mbar,T+28966mdegC
1557669891:[PRESS , 95]P  +5140mbar,T-24417mdegC
1557669893:[PRESS , 95]P  +5130mbar,T+28966mdegC
1557669894:[PRESS , 95]P  +5130mbar,T +2275mdegC
1557669896:[PRESS , 95]P  +5110mbar,T+28966mdegC
1557669898:[PRESS , 95]P  +5110mbar,T +2275mdegC
1557669906:[PUMP  ,367]during 60000ms
1557669907:[MONITR,461]battery 14445mV,  224480uA
1557669963:[MRMAID,594]acq stopped
1557669963:[MRMAID,664]$MEASFS,96716,2417.034546,40.014323;
1557669968:[MONITR,461]battery 14775mV,   72468uA
1557669978:[MRMAID,578]<WRN>ascent request while not in mission
1557669978:[MRMAID,594]acq stopped
1557670023:[PRESS , 81]P  +4590mbar,T +2275mdegC
1557670026:[PRESS , 95]P  +4570mbar,T+28966mdegC
1557670030:[PRESS , 95]P  +4560mbar,T +2275mdegC
1557670034:[PRESS , 95]P  +4550mbar,T+28966mdegC
1557670035:[PRESS , 95]P  +4540mbar,T-24417mdegC
1557670037:[PRESS , 95]P  +4530mbar,T +2275mdegC
1557670041:[PRESS , 95]P  +4510mbar,T-24417mdegC
1557670044:[PRESS , 95]P  +4510mbar,T+28966mdegC
1557670046:[PRESS , 95]P  +4480mbar,T +2275mdegC
1557670048:[PRESS , 95]P  +4470mbar,T-24417mdegC
1557670056:[PUMP  ,367]during 60000ms
1557670058:[MONITR,461]battery 14263mV,  307684uA
1557670117:[MONITR,461]battery 14730mV,   88206uA
1557670173:[PRESS , 81]P  +3740mbar,T +2275mdegC
1557670175:[PRESS , 95]P  +3730mbar,T+28966mdegC
1557670176:[PRESS , 95]P  +3730mbar,T +2275mdegC
1557670178:[PRESS , 95]P  +3720mbar,T+28966mdegC
1557670185:[PRESS , 81]P  +3660mbar,T+28966mdegC
1557670187:[PRESS , 95]P  +3650mbar,T +2275mdegC
1557670192:[PRESS , 95]P  +3610mbar,T+28966mdegC
1557670194:[PRESS , 95]P  +3600mbar,T +2275mdegC
1557670196:[PRESS , 95]P  +3600mbar,T+28966mdegC
1557670198:[PRESS , 95]P  +3580mbar,T-24417mdegC
1557670206:[PUMP  ,367]during 60000ms
1557670208:[MONITR,461]battery 14292mV,  302072uA
1557670267:[MONITR,461]battery 14756mV,   67588uA
1557670323:[PRESS , 81]P  +2540mbar,T +2275mdegC
1557670324:[PRESS , 95]P  +2510mbar,T+28966mdegC
1557670331:[PRESS , 81]P  +2450mbar,T +2275mdegC
1557670333:[PRESS , 95]P  +2430mbar,T+28966mdegC
1557670335:[PRESS , 95]P  +2410mbar,T +2275mdegC
1557670337:[PRESS , 95]P  +2400mbar,T -9880mdegC
1557670339:[PRESS , 95]P  +2380mbar,T +2275mdegC
1557670342:[PRESS , 95]P  +2360mbar,T+28966mdegC
1557670344:[PRESS , 95]P  +2340mbar,T +2275mdegC
1557670469:[PRESS , 81]P  +1150mbar,T+28966mdegC
1557670591:[PRESS , 81]P   +230mbar,T+28966mdegC
1557670594:[SURFIN, 82]filling external bladder
1557670603:[PUMP  ,367]during 300000ms
1557670604:[MONITR,461]battery 13973mV,  680150uA
1557670605:[MONITR,461]battery 13996mV,  858392uA
1557670902:[MONITR,461]battery 13926mV,  755790uA
1557670904:[MONITR,461]battery 14355mV,  150426uA
1557670906:[MONITR,461]battery 14512mV,   35380uA
1557670912:[PUMP  ,367]during 300000ms
1557670913:[MONITR,461]battery 14353mV,  232532uA
1557670914:[MONITR,461]battery 13866mV,  894260uA
1557670925:[MONITR,461]battery 13986mV,  726754uA
1557670927:[MONITR,461]battery 14420mV,  132858uA
1557670927:[SURFIN,117]external bladder full
1557670929:[PRESS , 81]P   +160mbar,T+28966mdegC
1557670931:[PRESS , 95]P   +170mbar,T +2275mdegC
1557670938:[PRESS , 95]P   +180mbar,T+28966mdegC
1557670941:[PRESS , 95]P   +180mbar,T +2275mdegC
1557670943:[PRESS , 95]P   +170mbar,T+28966mdegC
1557670948:[PRESS , 95]P   +170mbar,T-24417mdegC
1557670950:[PRESS , 95]P   +170mbar,T +2275mdegC
1557670952:[PRESS , 95]P   +170mbar,T+28966mdegC
1557670955:[MONITR,461]battery 14712mV,   32818uA
1557670989:[MAIN  ,498]Vbat 14765mV (min 12760mV)
1557670991:[MAIN  ,503]Pint 79981Pa
1557670991:[MAIN  ,507]Pext 171mbar (rng 20mbar)
1557670991:[MAIN  ,514]surface
1557670993:[MONITR,461]battery 14603mV,  147376uA
1557670998:[SURF  ,428]GPS fix...
1557671033:[SURF  ,445]10 PPS detected...
1557671034:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,-2441;
1557671044:[MRMAID,650]$GPSOFF:3686341;
1557671046:[SURF  ,400]N43deg40.930mn, E007deg19.183mn
1557671046:[SURF  ,407]hdop 0.930, vdop 1.620
1557671057:[MONITR,461]battery 14851mV,   33062uA
1557671132:[MRMAID,604]26031 bytes in 0014/5CD82C95.MER
1557671137:*** switching to 0014/5CD82CE1 ***
