1564757607:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564757610:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757611:[MRMAID,594]acq stopped
1564757614:[MRMAID,557]acq started
1564757661:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757663:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757666:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757668:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757674:[PRESS , 95]P  +7230mbar,T +2077mdegC
1564757675:[PRESS , 95]P  +7250mbar,T-22617mdegC
1564757677:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564757684:[MRMAID,594]acq stopped
1564757688:[MRMAID,557]acq started
1564757733:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757737:[PRESS , 95]P  +7230mbar,T +2077mdegC
1564757739:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564757740:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757744:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757749:[PRESS , 95]P  +7240mbar,T-22617mdegC
1564757751:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757755:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757758:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757758:[MRMAID,594]acq stopped
1564757762:[MRMAID,557]acq started
1564757807:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564757811:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564757813:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757820:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564757822:[PRESS , 95]P  +7250mbar,T +2077mdegC
