1557687091:[MRMAID,594]acq stopped
1557687100:[PUMP  ,367]during 15061ms
1557687102:[MONITR,461]battery 14293mV,  310124uA
1557687115:[MONITR,461]battery 14550mV,  226188uA
1557687117:[MONITR,461]battery 14827mV,   65636uA
1557687118:[MRMAID,557]acq started
1557687165:[PRESS , 81]P  +6500mbar,T+28966mdegC
1557687170:[PRESS , 95]P  +6470mbar,T -9880mdegC
1557687172:[PRESS , 95]P  +6480mbar,T +2275mdegC
1557687174:[PRESS , 95]P  +6460mbar,T-24417mdegC
1557687176:[PRESS , 95]P  +6460mbar,T +2275mdegC
1557687179:[PRESS , 95]P  +6460mbar,T+28966mdegC
1557687183:[PRESS , 95]P  +6440mbar,T +2275mdegC
1557687251:[PRESS , 81]P  +6300mbar,T +2275mdegC
1557687253:[PRESS , 95]P  +6290mbar,T+28966mdegC
1557687256:[PRESS , 95]P  +6280mbar,T +2275mdegC
1557687258:[PRESS , 95]P  +6290mbar,T -9880mdegC
1557687260:[PRESS , 95]P  +6290mbar,T+28966mdegC
1557687262:[PRESS , 95]P  +6270mbar,T +2275mdegC
1557687270:[PRESS , 95]P  +6260mbar,T-24417mdegC
1557687272:[PRESS , 95]P  +6250mbar,T+28966mdegC
1557687274:[PRESS , 95]P  +6240mbar,T +2275mdegC
1557687276:[PRESS , 95]P  +6240mbar,T+28966mdegC
1557687337:[PRESS , 81]P  +6090mbar,T+28966mdegC
1557687338:[PRESS , 95]P  +6090mbar,T -9880mdegC
1557687340:[PRESS , 95]P  +6090mbar,T +2275mdegC
1557687346:[PRESS , 95]P  +6070mbar,T+28966mdegC
1557687349:[PRESS , 95]P  +6060mbar,T-24417mdegC
1557687351:[PRESS , 95]P  +6060mbar,T +2275mdegC
1557687353:[PRESS , 95]P  +6060mbar,T-24417mdegC
1557687356:[PRESS , 95]P  +6050mbar,T +2275mdegC
1557687358:[PRESS , 95]P  +6040mbar,T-24417mdegC
1557687362:[PRESS , 95]P  +6040mbar,T +2275mdegC
1557687422:[PRESS , 81]P  +5880mbar,T +2275mdegC
1557687423:[MRMAID,565]59dbar, 2degC
1557687430:[PRESS , 95]P  +5880mbar,T+28966mdegC
1557687433:[PRESS , 95]P  +5860mbar,T +2275mdegC
1557687437:[PRESS , 95]P  +5860mbar,T-24417mdegC
1557687439:[PRESS , 95]P  +5860mbar,T +2275mdegC
1557687440:[PRESS , 95]P  +5850mbar,T-24417mdegC
1557687444:[PRESS , 95]P  +5830mbar,T +2275mdegC
