1560245934:[OILLVL,113]0/5 hit(s), unswitched
1560245935:[OILLVL,113]0/5 hit(s), unswitched
1560245936:[OILLVL,113]0/5 hit(s), unswitched
1560245937:[OILLVL,113]0/5 hit(s), unswitched
1560245938:[OILLVL,113]0/5 hit(s), unswitched
1560245939:[OILLVL,113]0/5 hit(s), unswitched
1560245940:[OILLVL,113]0/5 hit(s), unswitched
1560245941:[OILLVL,113]0/5 hit(s), unswitched
1560245942:[OILLVL,113]0/5 hit(s), unswitched
1560245943:[OILLVL,113]0/5 hit(s), unswitched
1560245944:[OILLVL,113]0/5 hit(s), unswitched
1560245945:[OILLVL,113]0/5 hit(s), unswitched
1560245946:[OILLVL,113]0/5 hit(s), unswitched
1560245947:[OILLVL,113]0/5 hit(s), unswitched
1560245948:[OILLVL,113]0/5 hit(s), unswitched
1560245949:[OILLVL,113]0/5 hit(s), unswitched
1560245950:[OILLVL,113]0/5 hit(s), unswitched
1560245951:[OILLVL,113]0/5 hit(s), unswitched
1560245952:[OILLVL,113]0/5 hit(s), unswitched
1560245954:[OILLVL,113]0/5 hit(s), unswitched
1560245955:[OILLVL,113]0/5 hit(s), unswitched
1560245956:[OILLVL,113]0/5 hit(s), unswitched
1560245957:[OILLVL,113]0/5 hit(s), unswitched
1560245958:[OILLVL,113]0/5 hit(s), unswitched
1560245959:[OILLVL,113]0/5 hit(s), unswitched
1560245960:[OILLVL,113]0/5 hit(s), unswitched
1560245961:[OILLVL,113]0/5 hit(s), unswitched
1560245962:[OILLVL,113]0/5 hit(s), unswitched
1560245963:[OILLVL,113]0/5 hit(s), unswitched
1560245964:[OILLVL,113]0/5 hit(s), unswitched
1560245965:[OILLVL,113]0/5 hit(s), unswitched
1560245966:[OILLVL,113]0/5 hit(s), unswitched
1560245967:[OILLVL,113]0/5 hit(s), unswitched
1560245968:[OILLVL,113]0/5 hit(s), unswitched
1560245969:[OILLVL,113]0/5 hit(s), unswitched
1560245970:[OILLVL,113]1/5 hit(s), unswitched
1560245971:[OILLVL,113]5/5 hit(s), switched
1560245972:[OILLVL,113]5/5 hit(s), switched
1560245973:[OILLVL,113]5/5 hit(s), switched
1560245974:[MONITR,461]battery 14515mV, 1096902uA
1560245975:[MONITR,461]battery 14797mV,   98454uA
1560245975:[SURFIN,117]external bladder full
1560245976:[TESTMD, 73]pump run 83s
1560245981:[TESTMD, 81]test done
1560246575:[MONITR,461]battery 15398mV,   11224uA
1560248423:[TESTMD,364]"pumps 30"
1560248424:[OILLVL,113]0/5 hit(s), unswitched
1560248425:[OILLVL,113]0/5 hit(s), unswitched
1560248426:[OILLVL,113]0/5 hit(s), unswitched
1560248431:[PUMP  ,367]during 30000ms
1560248432:[MONITR,461]battery 15330mV,  265594uA
1560248432:[OILLVL,113]0/5 hit(s), unswitched
1560248433:[MONITR,461]battery 15243mV,  452376uA
1560248433:[OILLVL,113]0/5 hit(s), unswitched
1560248434:[OILLVL,113]0/5 hit(s), unswitched
1560248435:[OILLVL,113]0/5 hit(s), unswitched
1560248436:[OILLVL,113]0/5 hit(s), unswitched
1560248437:[OILLVL,113]0/5 hit(s), unswitched
1560248438:[OILLVL,113]0/5 hit(s), unswitched
1560248439:[OILLVL,113]0/5 hit(s), unswitched
1560248440:[OILLVL,113]0/5 hit(s), unswitched
1560248441:[OILLVL,113]0/5 hit(s), unswitched
1560248442:[OILLVL,113]0/5 hit(s), unswitched
1560248443:[OILLVL,113]0/5 hit(s), unswitched
1560248445:[OILLVL,113]0/5 hit(s), unswitched
1560248446:[OILLVL,113]0/5 hit(s), unswitched
1560248447:[OILLVL,113]0/5 hit(s), unswitched
1560248448:[OILLVL,113]0/5 hit(s), unswitched
1560248449:[OILLVL,113]0/5 hit(s), unswitched
1560248450:[OILLVL,113]0/5 hit(s), unswitched
1560248451:[OILLVL,113]0/5 hit(s), unswitched
1560248452:[OILLVL,113]0/5 hit(s), unswitched
1560248453:[OILLVL,113]0/5 hit(s), unswitched
1560248454:[OILLVL,113]0/5 hit(s), unswitched
1560248455:[OILLVL,113]0/5 hit(s), unswitched
1560248456:[OILLVL,113]0/5 hit(s), unswitched
1560248457:[OILLVL,113]0/5 hit(s), unswitched
1560248458:[OILLVL,113]0/5 hit(s), unswitched
1560248459:[OILLVL,113]0/5 hit(s), unswitched
1560248460:[OILLVL,113]0/5 hit(s), unswitched
1560248461:[OILLVL,113]0/5 hit(s), unswitched
1560248464:[MONITR,461]battery 15355mV,   59902uA
1560248485:[TESTMD,364]"pumpf 30"
1560248486:[OILLVL,113]0/5 hit(s), unswitched
1560248487:[OILLVL,113]0/5 hit(s), unswitched
1560248488:[OILLVL,113]0/5 hit(s), unswitched
1560248493:[PUMP  ,367]during 30000ms
1560248494:[OILLVL,113]0/5 hit(s), unswitched
1560248494:[MONITR,461]battery 15017mV, 1011624uA
1560248495:[OILLVL,113]0/5 hit(s), unswitched
1560248495:[MONITR,461]battery 14843mV, 1569164uA
1560248496:[OILLVL,113]0/5 hit(s), unswitched
1560248497:[OILLVL,113]0/5 hit(s), unswitched
1560248498:[OILLVL,113]0/5 hit(s), unswitched
1560248499:[OILLVL,113]0/5 hit(s), unswitched
1560248500:[OILLVL,113]0/5 hit(s), unswitched
1560248501:[OILLVL,113]0/5 hit(s), unswitched
1560248502:[OILLVL,113]0/5 hit(s), unswitched
1560248503:[OILLVL,113]0/5 hit(s), unswitched
1560248504:[OILLVL,113]5/5 hit(s), switched
1560248505:[OILLVL,113]5/5 hit(s), switched
1560248506:[OILLVL,113]5/5 hit(s), switched
1560248508:[MONITR,461]battery 15153mV,  361974uA
1560248509:[MONITR,461]battery 15288mV,   42456uA
1560248516:[TESTMD,364]"act"
1560248516:[SURFIN, 82]filling external bladder
1560248517:[OILLVL,113]4/5 hit(s), switched
1560248518:[OILLVL,113]5/5 hit(s), switched
1560248519:[OILLVL,113]5/5 hit(s), switched
1560248519:[SURFIN,117]external bladder full
1560248524:[VALVE ,129]opening for 30000ms
1560248526:[MONITR,461]battery 15056mV,  639890uA
1560248555:[MONITR,461]battery 15083mV,  435174uA
1560248559:[SURFIN, 82]filling external bladder
1560248560:[OILLVL,113]0/5 hit(s), unswitched
1560248561:[OILLVL,113]0/5 hit(s), unswitched
