1557677310:[PRESS , 95]P   +170mbar,T +2275mdegC
1557677312:[PRESS , 95]P   +170mbar,T+28966mdegC
1557677314:[PRESS , 95]P   +190mbar,T +2275mdegC
1557677319:[PRESS , 95]P   +170mbar,T+28966mdegC
1557677326:[MONITR,461]battery 14685mV,   32696uA
1557677355:[MAIN  ,498]Vbat 14717mV (min 12760mV)
1557677357:[MAIN  ,503]Pint 79660Pa
1557677357:[MAIN  ,507]Pext 171mbar (rng 30mbar)
1557677357:[MAIN  ,514]surface
1557677358:[MONITR,461]battery 14581mV,  138714uA
1557677364:[SURF  ,428]GPS fix...
1557677417:[SURF  ,445]10 PPS detected...
1557677418:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,-457;
1557677428:[MRMAID,650]$GPSOFF:3686342;
1557677431:[SURF  ,400]N43deg40.930mn, E007deg19.183mn
1557677431:[SURF  ,407]hdop 1.440, vdop 1.820
1557677442:[MONITR,461]battery 14822mV,   32452uA
1557677507:[MRMAID,604]21788 bytes in 0014/5CD84586.MER
1557677512:*** switching to 0014/5CD845C8 ***
